feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
Age,33.0,33.0,0.0,39.0,38.0,1.0,68.0,67.0,1.0,69.0,68.0,1.0
Race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Stage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
differentiate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grade,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0
Tumor Size,4.0,5.0,1.0,9.0,8.0,1.0,75.0,66.0,9.0,102.53999999999996,88.0,14.539999999999964
Estrogen Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regional Node Examined,1.0,2.0,1.0,2.0,3.0,1.0,28.0,29.0,1.0,38.76999999999998,36.0,2.769999999999982
Reginol Node Positive,1.0,1.0,0.0,1.0,1.0,0.0,15.0,17.0,2.0,26.0,25.769999999999982,0.2300000000000182
Survival Months,8.0,10.0,2.0,26.150000000000006,25.0,1.1500000000000057,103.0,104.0,1.0,107.0,106.0,1.0
Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
