feature,ks_statistic,p_value
Age,0.03205765407554672,0.031984981939442485
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.12922465208747516,1.0957450186830162e-29
Tumor Size,0.11679920477137178,2.5623623186247447e-24
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.08598409542743539,2.3237882079361326e-13
Reginol Node Positive,0.1426441351888668,4.215650927935403e-36
Survival Months,0.06088469184890656,6.600335418328041e-07
Status,0.0,1.0
