feature,ks_statistic,p_value
HighBP,0.033848896247240634,7.110078423666849e-19
HighChol,0.06832906023336494,1.3234719224043815e-75
CholCheck,0.0033304951119520615,0.9862920916116521
BMI,0.046102365184484406,1.1933955658317961e-34
Smoker,0.02216855881425417,2.4414242242144366e-08
Stroke,0.03702920214443395,1.6679909526010833e-22
Diabetes,0.04281169977924948,6.1389515571396955e-30
PhysActivity,0.016643677073478386,6.926350057658918e-05
Fruits,0.006744244717754644,0.3680055049717899
Veggies,0.030580100914538,1.7502461303634e-15
HvyAlcoholConsump,0.0287467833491013,9.873344818994936e-14
AnyHealthcare,0.0015525070955534556,0.9999999999878921
NoDocbcCost,0.03527308420056763,1.848086316431954e-20
GenHlth,0.10497888678650269,6.9942376575951e-178
MentHlth,0.2174325922421949,0.0
PhysHlth,0.3468120466729738,0.0
DiffWalk,0.18757625354777674,0.0
Sex,0.05079216335540848,5.749798549039555e-42
Age,0.02768724377168086,9.063284669519767e-13
Education,0.11985578681803849,9.66341227780373e-232
Income,0.12292730999684642,9.493660149098888e-244
