feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
Age,33.0,32.0,1.0,39.0,38.0,1.0,68.0,67.0,1.0,69.0,68.0,1.0
Race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Stage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
differentiate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grade,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0
Tumor Size,4.0,6.0,2.0,9.0,9.0,0.0,75.0,62.0,13.0,102.53999999999996,82.76999999999998,19.769999999999982
Estrogen Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regional Node Examined,1.0,2.0,1.0,2.0,3.0,1.0,28.0,31.0,3.0,38.76999999999998,38.0,0.7699999999999818
Reginol Node Positive,1.0,1.0,0.0,1.0,1.0,0.0,15.0,18.0,3.0,26.0,28.0,2.0
Survival Months,8.0,7.0,1.0,26.150000000000006,23.0,3.1500000000000057,103.0,99.0,4.0,107.0,104.0,3.0
Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
