feature,ks_statistic,p_value
Age,0.03106361829025845,0.04117369017400859
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.051938369781312124,3.847479058429154e-05
Tumor Size,0.073558648111332,6.880371989886699e-10
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.09393638170974156,7.23247861118156e-16
Reginol Node Positive,0.1863817097415507,1.7532182392300824e-61
Survival Months,0.14140159045725645,1.761091537153097e-35
Status,0.0,1.0
