feature,real_q0.01,synthetic_q0.01,abs_diff_q0.01,real_q0.05,synthetic_q0.05,abs_diff_q0.05,real_q0.95,synthetic_q0.95,abs_diff_q0.95,real_q0.99,synthetic_q0.99,abs_diff_q0.99
Age,33.0,34.0,1.0,39.0,40.0,1.0,68.0,67.0,1.0,69.0,68.0,1.0
Race,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N Stage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
differentiate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grade,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0
Tumor Size,4.0,7.0,3.0,9.0,10.0,1.0,75.0,81.0,6.0,102.53999999999996,106.0,3.4600000000000364
Estrogen Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regional Node Examined,1.0,2.0,1.0,2.0,3.0,1.0,28.0,28.0,0.0,38.76999999999998,36.0,2.769999999999982
Reginol Node Positive,1.0,1.0,0.0,1.0,1.0,0.0,15.0,24.0,9.0,26.0,30.0,4.0
Survival Months,8.0,12.0,4.0,26.150000000000006,25.0,1.1500000000000057,103.0,101.84999999999991,1.150000000000091,107.0,105.0,2.0
Status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
