feature,ks_statistic,p_value
Age,0.031312127236580514,0.038683483271664244
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.1272365805168986,8.621193577376382e-29
Tumor Size,0.035039761431411534,0.014294837506458862
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.02882703777335984,0.07058902631962354
Reginol Node Positive,0.19532803180914513,1.5943943751405143e-67
Survival Months,0.10039761431411531,4.552569171757406e-18
Status,0.0,1.0
