feature,ks_statistic,p_value
Age,0.18364811133200795,1.0762803617359028e-59
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.17445328031809146,7.050618721315568e-54
Tumor Size,0.25124254473161034,6.468546323305761e-112
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.11853876739562624,4.897324773209043e-25
Reginol Node Positive,0.054423459244532804,1.3270088302310783e-05
Survival Months,0.10511928429423459,9.049341238237052e-20
Status,0.0,1.0
