feature,ks_statistic,p_value
HighBP,0.07943077893409023,0.0
HighChol,0.03986124251024914,1.49231541155941e-175
CholCheck,0.004324345632292656,0.017360560353999254
BMI,0.072299747713655,0.0
Smoker,0.101844843897824,0.0
Stroke,0.003015610217596998,0.1985355367993994
Diabetes,0.010733995584988998,4.015773351963014e-13
PhysActivity,0.1014388205613371,0.0
Fruits,0.1235611794386629,0.0
Veggies,0.0036463260801009034,0.06841388902224077
HvyAlcoholConsump,0.1016319772942289,0.0
AnyHealthcare,0.02818905707978555,5.401265814903336e-88
NoDocbcCost,0.015787606433301793,6.836310951384401e-28
GenHlth,0.03507962787764107,4.772351597900271e-136
MentHlth,0.08297855566067491,0.0
PhysHlth,0.1314648375906654,0.0
DiffWalk,0.15436770734783978,0.0
Sex,0.1759973194575843,0.0
Age,0.09216729738252916,0.0
Education,0.06872043519394513,0.0
Income,0.2091887417218543,0.0
