feature,ks_statistic,p_value
HighBP,0.009200567644276236,9.439218859126342e-10
HighChol,0.02279643645537688,1.1148339385404641e-57
CholCheck,0.0223233995584989,2.5040654609627143e-55
BMI,0.05618495742667928,0.0
Smoker,0.013469725638599828,2.0519622559343703e-20
Stroke,0.022981709239987436,1.2965640215720364e-58
Diabetes,0.021065909807631678,2.5692004082020045e-49
PhysActivity,0.04055897193314409,1.1615865571998466e-181
Fruits,0.0184090192368338,9.218947511804152e-38
Veggies,0.0054556922106590855,0.0010515070699774734
HvyAlcoholConsump,0.024353516240933404,9.095137969564574e-66
AnyHealthcare,0.040838852097130236,3.5905182994853387e-184
NoDocbcCost,0.07803926206244094,0.0
GenHlth,0.06555502995900342,0.0
MentHlth,0.16169977924944812,0.0
PhysHlth,0.2719410280668558,0.0
DiffWalk,0.06918558814254183,0.0
Sex,0.04460737937559134,1.199827182769148e-219
Age,0.017660044150110354,8.728797726134713e-35
Education,0.06855881425417842,0.0
Income,0.07719567959634188,0.0
