feature,ks_statistic,p_value
Age,0.10487077534791253,1.1172243333270452e-19
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.050944333996023855,5.808145354482134e-05
Tumor Size,0.12947316103379722,8.447723972420878e-30
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.1073558648111332,1.3276516970422748e-20
Reginol Node Positive,0.16699801192842942,2.189710449454638e-49
Survival Months,0.04945328031809145,0.00010612991079080976
Status,0.0,1.0
