feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
Age,0.0,0.0,0.0
Race,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0
N Stage,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0
differentiate,0.0,0.0,0.0
Grade,0.0,0.0,0.0
Tumor Size,0.055168986083499,0.13046719681908547,0.07529821073558647
Estrogen Status,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0
Regional Node Examined,0.017892644135188866,0.0014910536779324055,0.016401590457256462
Reginol Node Positive,0.08548707753479125,0.1058648111332008,0.020377733598409553
Survival Months,0.0044731610337972166,0.0,0.0044731610337972166
Status,0.0,0.0,0.0
