feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
Age,0.0,0.0,0.0
Race,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0
N Stage,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0
differentiate,0.0,0.0,0.0
Grade,0.0,0.0,0.0
Tumor Size,0.055168986083499,0.16376739562624254,0.10859840954274354
Estrogen Status,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0
Regional Node Examined,0.017892644135188866,0.018886679920477135,0.0009940357852882692
Reginol Node Positive,0.08548707753479125,0.18215705765407555,0.09666998011928431
Survival Months,0.0044731610337972166,0.002485089463220676,0.0019880715705765406
Status,0.0,0.0,0.0
