feature,ks_statistic,p_value
Age,0.05044731610337972,7.114915386651728e-05
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.06759443339960239,2.04706122366645e-08
Tumor Size,0.0658548707753479,5.216486250855027e-08
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.021123260437375745,0.33060781315049376
Reginol Node Positive,0.17445328031809146,7.050618721315568e-54
Survival Months,0.03876739562624255,0.004722908952954262
Status,0.0,1.0
