feature,ks_statistic,p_value
HighBP,0.008463418479974782,2.5673351337581613e-08
HighChol,0.02029722485020502,8.179660978463797e-46
CholCheck,0.003307316304005048,0.12468886480493781
BMI,0.04345632292652157,1.765338720046681e-208
Smoker,0.03449227373068431,1.689443558329732e-131
Stroke,0.007087669504888039,5.841735741763223e-06
Diabetes,0.01887811415957108,1.0905444829283051e-39
PhysActivity,0.024314096499526955,1.4796876468713512e-65
Fruits,0.0711368653421634,0.0
Veggies,0.007950961841690307,2.168753973405001e-07
HvyAlcoholConsump,0.01533427940712706,2.4843540961105114e-26
AnyHealthcare,0.018531220435193944,2.933257113624876e-38
NoDocbcCost,0.058979817092399967,0.0
GenHlth,0.09961368653421637,0.0
MentHlth,0.6301285083569852,0.0
PhysHlth,0.2050536108483128,0.0
DiffWalk,0.06160911384421319,0.0
Sex,0.10036266162093976,0.0
Age,0.12926521602018293,0.0
Education,0.021404919583727477,6.661026378846573e-51
Income,0.062346263008514646,0.0
