feature,ks_statistic,p_value
Age,0.15606361829025844,3.694738222844937e-43
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.053180914512922464,2.2736860934933046e-05
Tumor Size,0.0897117296222664,1.655101426902343e-14
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.04821073558648111,0.00017300352047133535
Reginol Node Positive,0.29945328031809143,1.5124860192798522e-159
Survival Months,0.09791252485089463,3.3284207592005774e-17
Status,0.0,1.0
