feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
Age,0.0,0.0,0.0
Race,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0
N Stage,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0
differentiate,0.0,0.0,0.0
Grade,0.0,0.0,0.0
Tumor Size,0.055168986083499,0.13518886679920478,0.08001988071570577
Estrogen Status,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0
Regional Node Examined,0.017892644135188866,0.005218687872763419,0.012673956262425446
Reginol Node Positive,0.08548707753479125,0.05889662027833002,0.026590457256461225
Survival Months,0.0044731610337972166,0.0027335984095427437,0.0017395626242544728
Status,0.0,0.0,0.0
