feature,ks_statistic,p_value
Age,0.1404075546719682,5.477111333077014e-35
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.0658548707753479,5.216486250855027e-08
Tumor Size,0.10089463220675944,3.0397950280485626e-18
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.0812624254473161,5.614452954594666e-12
Reginol Node Positive,0.21769383697813122,6.680799001802331e-84
Survival Months,0.17842942345924453,2.3470710817596463e-56
Status,0.0,1.0
