feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
Age,0.0,0.0,0.0
Race,0.0,0.0,0.0
Marital Status,0.0,0.0,0.0
T Stage ,0.0,0.0,0.0
N Stage,0.0,0.0,0.0
6th Stage,0.0,0.0,0.0
differentiate,0.0,0.0,0.0
Grade,0.0,0.0,0.0
Tumor Size,0.055168986083499,0.05019880715705766,0.004970178926441346
Estrogen Status,0.0,0.0,0.0
Progesterone Status,0.0,0.0,0.0
Regional Node Examined,0.017892644135188866,0.01739562624254473,0.0004970178926441346
Reginol Node Positive,0.08548707753479125,0.07331013916500995,0.012176938369781301
Survival Months,0.0044731610337972166,0.010685884691848906,0.006212723658051689
Status,0.0,0.0,0.0
