feature,ks_statistic,p_value
Age,0.04796222664015905,0.00019047999199894042
Race,0.0,1.0
Marital Status,0.0,1.0
T Stage ,0.0,1.0
N Stage,0.0,1.0
6th Stage,0.0,1.0
differentiate,0.0,1.0
Grade,0.12251491053677932,1.0161856311360952e-26
Tumor Size,0.20253479125248508,1.3323122677890856e-72
Estrogen Status,0.0,1.0
Progesterone Status,0.0,1.0
Regional Node Examined,0.048707753479125246,0.0001425007351059842
Reginol Node Positive,0.3257952286282306,2.5194835481527393e-189
Survival Months,0.0360337972166998,0.010756605260154324
Status,0.0,1.0
